Expediente_INVIMA,principio_activo,concentracion,unidad_base,unidad_de_dispensacion,nombre_comercial,fabricante,medicamento,canal,precio_por_tableta,factoresprecio,numerofactor
19905224,Vitamina E,Vitamina E 400 mg,mg,Tableta o cápsula,Rainforest,Votre Passion,Rainforest (Votre Passion) Tableta o cápsula | Capsula | Contiene:  Vitamina E 400 mg,Comercial,$   692.00,Medio,2
48599,3-(4-Metil Benciliden) Bornanona + Hidroquinona,3-(4-Metil Benciliden) Bornanona 2.5 g + Hidroquinona 5 g,g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Cremoquinona,Bussié,Cremoquinona (Bussié) Cremas o geles o ungüentos o pomadas o pastas o jaleas | Tubo de 30 g | Cada 100 g contiene: 3-(4-Metil Benciliden) Bornanona 2.5 g + Hidroquinona 5 g,Comercial,"$   24,651.00",Medio,2
7038,A/Brisbane/02/2018 (H1N1) Pdm09 - Cepa Análoga (A/Brisbane/02/2018. Ivr-190). + A/South Australia/34/2019 (H3N2) - Cepa Análoga (A/South Australia/34/2019. Ivr-197). + B/Washington/02/2019-Like (B/Victoria Lineage) - Cepa Análoga(B/Victoria/705/2018. Bvr-11),A/Brisbane/02/2018 (H1N1) Pdm09 - Cepa Análoga (A/Brisbane/02/2018. Ivr-190). 15 mcg + A/South Australia/34/2019 (H3N2) - Cepa Análoga (A/South Australia/34/2019. Ivr-197). 15 mcg + B/Washington/02/2019-Like (B/Victoria Lineage) - Cepa Análoga(B/Victoria/705/2018. Bvr-11) 15 mcg,mcg,Solución o suspensión inyectable,Agrippal,Sepulveda Grajales John Eugenio,Agrippal (Sepulveda Grajales John Eugenio) Solución o suspensión inyectable | Vial de 0.5 ml | Cada 0.5 ml contiene: A/Brisbane/02/2018 (H1N1) Pdm09 - Cepa Análoga (A/Brisbane/02/2018. Ivr-190). 15 mcg + A/South Australia/34/2019 (H3N2) - Cepa Análoga (A/South Australia/34/2019. Ivr-197). 15 mcg + B/Washington/02/2019-Like (B/Victoria Lineage) - Cepa Análoga(B/Victoria/705/2018. Bvr-11) 15 mcg,Comercial,"$   71,428.00",Medio,2
20071968,A/Michigan/45/2015 (H1N1)Pdm09-Like Con Cepa (A/Michigan/45/2015 X-275 (H1N1)) + A/Switzerland/8060/2017 (H3N2)-Like Con Cepa (A/Brisbane/1/2018. X-311) + B/Colorado/06/2017-Like Virus (B/Victoria/2/87 Lineage) Con Cepa (B/Maryland/15/2016 Bx-69A). Cepa Natural (Salvaje) + B/Phuket/3073/2013 (Linaje B/Yamagata/16/88) (B/Phunket/3073/2013),A/Michigan/45/2015 (H1N1)Pdm09-Like Con Cepa (A/Michigan/45/2015 X-275 (H1N1)) 15 mcg + A/Switzerland/8060/2017 (H3N2)-Like Con Cepa (A/Brisbane/1/2018. X-311) 15 mcg + B/Colorado/06/2017-Like Virus (B/Victoria/2/87 Lineage) Con Cepa (B/Maryland/15/2016 Bx-69A). Cepa Natural (Salvaje) 15 mcg + B/Phuket/3073/2013 (Linaje B/Yamagata/16/88) (B/Phunket/3073/2013) 15 mcg,mcg,Solución o suspensión inyectable,Fluquadri,Sanofi Aventis,Fluquadri (Sanofi Aventis) Solución o suspensión inyectable | Vial de 0.5 ml | Cada 1 Dosis contiene: A/Michigan/45/2015 (H1N1)Pdm09-Like Con Cepa (A/Michigan/45/2015 X-275 (H1N1)) 15 mcg + A/Switzerland/8060/2017 (H3N2)-Like Con Cepa (A/Brisbane/1/2018. X-311) 15 mcg + B/Colorado/06/2017-Like Virus (B/Victoria/2/87 Lineage) Con Cepa (B/Maryland/15/2016 Bx-69A). Cepa Natural (Salvaje) 15 mcg + B/Phuket/3073/2013 (Linaje B/Yamagata/16/88) (B/Phunket/3073/2013) 15 mcg,Comercial,"$   38,976.00",Medio,2
20078419,A/Michigan/45/2015 (H1N1)Pdm09-Like Con Cepa (A/Michigan/45/2015 X-275 (H1N1)) + A/Switzerland/8060/2017 (H3N2)-Like Con Cepa (A/Brisbane/1/2018. X-311) + B/Colorado/06/2017-Like Virus (B/Victoria/2/87 Lineage) Con Cepa (B/Maryland/15/2016 Bx-69A). Cepa Natural (Salvaje) + B/Phuket/3073/2013 (Linaje B/Yamagata/16/88) (B/Phunket/3073/2013),A/Michigan/45/2015 (H1N1)Pdm09-Like Con Cepa (A/Michigan/45/2015 X-275 (H1N1)) 7.5 mcg + A/Switzerland/8060/2017 (H3N2)-Like Con Cepa (A/Brisbane/1/2018. X-311) 7.5 mcg + B/Colorado/06/2017-Like Virus (B/Victoria/2/87 Lineage) Con Cepa (B/Maryland/15/2016 Bx-69A). Cepa Natural (Salvaje) 7.5 mcg + B/Phuket/3073/2013 (Linaje B/Yamagata/16/88) (B/Phunket/3073/2013) 7.5 mcg,mcg,Solución o suspensión inyectable,Fluquadri,Sanofi Aventis,Fluquadri (Sanofi Aventis) Solución o suspensión inyectable | Vial de 0.25 ml | Cada 1 Dosis contiene: A/Michigan/45/2015 (H1N1)Pdm09-Like Con Cepa (A/Michigan/45/2015 X-275 (H1N1)) 7.5 mcg + A/Switzerland/8060/2017 (H3N2)-Like Con Cepa (A/Brisbane/1/2018. X-311) 7.5 mcg + B/Colorado/06/2017-Like Virus (B/Victoria/2/87 Lineage) Con Cepa (B/Maryland/15/2016 Bx-69A). Cepa Natural (Salvaje) 7.5 mcg + B/Phuket/3073/2013 (Linaje B/Yamagata/16/88) (B/Phunket/3073/2013) 7.5 mcg,Comercial,"$   38,976.00",Medio,2
20016991,Abacavir,Abacavir 100 mg,mg,Solución o suspensión oral,Abacavir,Humax,Abacavir (Humax) Solución o suspensión oral | Frasco de 240 ml | Cada 5 ml contiene: Abacavir 100 mg,Comercial,"$   42,000.00",Medio,2
20065664,Abacavir,Abacavir 2 g,g,Solución o suspensión oral,Abacar,Hetero,Abacar (Hetero) Solución o suspensión oral | Frasco de 240 ml | Cada 100 ml contiene: Abacavir 2 g,Comercial,"$   43,050.00",Medio,2
19980212,Abacavir + Lamivudina + Zidovudina,Abacavir 300 mg + Lamivudina 150 mg + Zidovudina 300 mg,mg,Tableta o cápsula,Lamivudina,Humax,Lamivudina (Humax) Tableta o cápsula | Tableta | Contiene: Abacavir 300 mg + Lamivudina 150 mg + Zidovudina 300 mg,Comercial,"$   2,042.00",Medio,2
20081132,Abacavir + Dolutegravir + Lamivudina,Abacavir 600 mg + Dolutegravir 50 mg + Lamivudina 300 mg,mg,Tableta o cápsula,Triumeq,Glaxosmithkline,Triumeq (Glaxosmithkline) Tableta o cápsula | Tableta | Contiene: Abacavir 600 mg + Dolutegravir 50 mg + Lamivudina 300 mg,Comercial,"$   16,500.00",Medio,2
20041743,Abatacept,Abatacept 125 mg,mg,Solución o suspensión inyectable,Orencia,Bristol Myers Squibb,Orencia (Bristol Myers Squibb) Solución o suspensión inyectable | Ampolla de 1 ml | Cada 1 ml contiene: Abatacept 125 mg,Comercial,"$   586,413.00",Medio,2
